"date","energy","impact_e","lat","lat_dir","lon","lon_dir","alt","vel"
2005-12-29,19,0.53,-3,"S",154.9,"W",42.2,20.7
2005-12-24,18.1,0.51,-54,"S",-17.3,"E",66,NA
2005-12-03,8.8,0.27,-33.8,"S",-117.4,"E",32.2,17
2005-12-01,3.2,0.11,-6.4,"S",155.8,"W",NA,NA
2005-11-29,3.2,0.11,7.6,"N",58.2,"W",59.3,NA
2005-11-15,2.5,0.089,26.3,"N",113.4,"W",32.4,NA
2005-11-11,4.2,0.14,21.4,"N",134.1,"W",29.6,NA
2005-11-09,7.3,0.23,-31,"S",-145.9,"E",30.7,13.8
2005-11-02,3.2,0.11,33.9,"N",154.9,"W",68.5,NA
2005-11-02,6.7,0.21,22.9,"N",123.8,"W",74,NA
2005-10-26,13.8,0.4,-36.3,"S",80.5,"W",16.7,NA
2005-09-30,2.2,0.079,-2.8,"S",84.1,"W",53,NA
2005-09-14,2.5,0.089,11.6,"N",-27.3,"E",33.3,NA
2005-09-02,8.2,0.25,13.5,"N",-73.1,"E",NA,NA
2005-08-20,2.7,0.095,NA,NA,NA,NA,NA,NA
2005-08-09,2.5,0.089,-21.5,"S",-56.2,"E",37,16.9
2005-07-01,3.1,0.11,-49.8,"S",-33.1,"E",50,NA
2005-06-18,2.3,0.082,47.9,"N",-85.6,"E",NA,NA
2005-06-05,4.1,0.14,34.8,"N",-90.9,"E",NA,NA
2005-06-03,8.2,0.25,-31,"S",90.3,"W",29.6,26.2
2005-05-27,2,0.073,-48.9,"S",-145.1,"E",50.5,NA
2005-05-14,12.9,0.38,NA,NA,NA,NA,NA,NA
2005-05-07,2.6,0.092,-75.8,"S",-163.7,"E",15.2,16.6
2005-05-02,4.6,0.15,17.7,"N",-36,"E",NA,NA
2005-04-22,2.2,0.079,20.9,"N",36.7,"W",37,NA
2005-04-19,23.2,0.64,-50.2,"S",146.4,"W",38.5,16.8
2005-04-16,2,0.073,NA,NA,NA,NA,NA,NA
2005-04-15,2.1,0.076,-43.8,"S",73.9,"W",39,NA
2005-04-14,7.1,0.22,4.9,"N",176,"W",26.5,NA
2005-04-11,10.6,0.32,-34.2,"S",95.7,"W",37,NA
2005-04-06,2.9,0.1,-42.7,"S",-154.6,"E",70,NA
2005-04-05,3.5,0.12,NA,NA,NA,NA,NA,NA
2005-04-03,21.9,0.61,-1,"S",-112.4,"E",59.2,NA
2005-04-02,20.4,0.57,14.1,"N",-169.7,"E",27.2,NA
2005-03-31,3.8,0.13,42.8,"N",36.2,"W",NA,NA
2005-03-18,2.7,0.095,-9.7,"S",34.7,"W",33,NA
2005-03-12,2.2,0.079,NA,NA,NA,NA,NA,NA
2005-03-09,5.3,0.17,-21.4,"S",157.9,"W",44.4,NA
2005-03-09,4,0.13,14.3,"N",-142.7,"E",30.7,NA
2005-03-06,5.5,0.18,NA,NA,NA,NA,NA,NA
2005-02-17,10,0.3,48,"N",161.5,"W",42.5,NA
2005-01-19,14.1,0.41,-27.5,"S",164.9,"W",40.7,NA
2005-01-02,11.9,0.35,-21.3,"S",-154.7,"E",35.2,21.5
2005-01-01,45.4,1.2,32.7,"N",-12.4,"E",31.8,NA
2004-12-29,9,0.28,-8.5,"S",-171.8,"E",NA,NA
2004-12-13,3.9,0.13,-9.7,"S",-155.3,"E",NA,NA
2004-12-11,3,0.1,36,"N",-104.1,"E",NA,NA
2004-11-30,18.1,0.51,61,"N",171,"W",NA,NA
2004-11-17,18.6,0.52,NA,NA,NA,NA,NA,NA
2004-10-14,9.3,0.28,NA,NA,NA,NA,NA,NA
2004-10-10,3,0.1,NA,NA,NA,NA,NA,NA
2004-10-07,1037,18,-27.3,"S",-71.5,"E",35,19.2
2004-10-04,7.1,0.22,3.7,"N",150.9,"W",NA,NA
2004-09-28,6.2,0.2,0.2,"N",101.1,"W",NA,NA
2004-09-03,726,13,-67.7,"S",-18.2,"E",31.5,NA
2004-08-22,144,3.2,-51.9,"S",-22.7,"E",37,NA
2004-07-29,2.5,0.089,NA,NA,NA,NA,NA,NA
2004-07-25,19.7,0.55,NA,NA,NA,NA,NA,NA
2004-07-22,3.5,0.12,NA,NA,NA,NA,NA,NA
2004-07-16,2.9,0.1,NA,NA,NA,NA,NA,NA
2004-07-04,7.9,0.25,NA,NA,NA,NA,NA,NA
2004-07-03,6.5,0.21,NA,NA,NA,NA,NA,NA
2004-06-12,10.4,0.31,21.7,"N",-175.3,"E",NA,NA
2004-06-11,10.4,0.31,NA,NA,NA,NA,NA,NA
2004-06-05,181,3.9,1.3,"N",174.4,"W",43,19.5
2004-06-04,33.9,0.89,NA,NA,NA,NA,NA,NA
2004-06-03,4.7,0.16,NA,NA,NA,NA,NA,NA
2004-06-03,5.4,0.18,48.9,"N",120.4,"W",NA,NA
2004-05-18,39.4,1,-28.1,"S",47.4,"W",NA,NA
2004-05-17,5.5,0.18,-18.9,"S",-28.3,"E",44,NA
2004-05-06,4.9,0.16,NA,NA,NA,NA,NA,NA
2004-04-23,5.6,0.18,NA,NA,NA,NA,NA,NA
2004-04-22,13.9,0.41,-15.2,"S",-55.1,"E",NA,NA
2004-04-22,62.4,1.5,-44.3,"S",-83.3,"E",29.6,16.3
2004-04-06,43.3,1.1,-12,"S",-162.8,"E",35,25.6
2004-03-26,2.4,0.086,-7.6,"S",-155.1,"E",46,NA
2004-03-25,2.1,0.076,-4.8,"S",-21,"E",NA,NA
2004-02-27,6,0.19,NA,NA,NA,NA,NA,NA
2004-02-02,3,0.1,-18.3,"S",-52.3,"E",NA,NA
2004-01-22,23.2,0.64,-50.6,"S",-157.8,"E",37,NA
2004-01-17,2.8,0.098,NA,NA,NA,NA,NA,NA
2004-01-16,9.8,0.3,NA,NA,NA,NA,NA,NA
2004-01-02,13.4,0.39,-28.2,"S",-3.2,"E",63,NA
2003-12-09,64.3,1.6,-67.1,"S",90.8,"W",NA,NA
2003-11-26,3.5,0.12,-22.9,"S",-22.7,"E",32,NA
2003-11-10,51.8,1.3,-64.5,"S",-136.2,"E",23,20.1
2003-11-01,7.3,0.23,-51.4,"S",-151.7,"E",NA,NA
2003-10-16,28.5,0.77,NA,NA,NA,NA,NA,NA
2003-10-13,3,0.1,NA,NA,NA,NA,NA,NA
2003-10-07,3.7,0.13,NA,NA,NA,NA,NA,NA
2003-09-27,215,4.6,21,"N",-86.6,"E",26,18.2
2003-09-22,3.3,0.11,NA,NA,NA,NA,NA,NA
2003-09-21,2,0.073,NA,NA,NA,NA,NA,NA
2003-09-20,3,0.1,NA,NA,NA,NA,NA,NA
2003-09-02,38.5,1,51.3,"N",161,"W",NA,NA
2003-08-26,7.2,0.23,NA,NA,NA,NA,NA,NA
2003-08-26,24.9,0.68,NA,NA,NA,NA,NA,NA
2003-08-17,64.7,1.6,-39,"S",-34,"E",NA,NA
2003-08-01,2.1,0.076,NA,NA,NA,NA,NA,NA
2003-07-21,5.8,0.19,NA,NA,NA,NA,NA,NA
2003-06-22,2.1,0.076,NA,NA,NA,NA,NA,NA
2003-06-21,3.8,0.13,NA,NA,NA,NA,NA,NA
2003-06-16,6.5,0.21,NA,NA,NA,NA,NA,NA
2003-06-10,3.2,0.11,-41.8,"S",-122.9,"E",NA,NA
2003-05-27,6.8,0.22,5.2,"N",-166.2,"E",NA,NA
2003-05-19,52.1,1.3,NA,NA,NA,NA,NA,NA
2003-05-18,2.1,0.076,NA,NA,NA,NA,NA,NA
2003-05-15,4.3,0.14,54,"N",80.4,"W",NA,NA
2003-04-28,2.3,0.082,NA,NA,NA,NA,NA,NA
